Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags,Website,Notes
DREAMCORE PRIVATE LIMITED,2017,1 - 10,Pre-seed,Gaming; Consumer Electronics; E-Commerce; Enterprise Solutions,Gaming; workstations; enterprise solutions; machine learning; Data Science,https://www.dreamcore.com.sg,
SKILFINITY,2017,1 - 10,Pre-seed,Adtech; Media; Data Analysis,Social Media; Digital Marketing; Social Networking; Consumer & Marketing Analytics,https://skilfinity.com/,
XINFIN FINTECH PTE. LTD.,2017,1 - 10,Pre-seed,Fintech; Blockchain,Payment Systems; P2P Lending; Cryptocurrency; Trade finance,https://xinfin.org/,
QIMORO PTE. LTD.,2017,1 - 10,Pre-seed,E-Commerce; Consumer Electronics; Urban Solutions; IoT,IoT; Air Quality Monitor; IAQ; Indoor Air Quality Solutions,https://www.qimoro.com/,
A LEFTIE COMPANY PTE. LTD.,2019,11 - 50,Pre-seed,Adtech; Fintech; Enterprise Solutions; Supply Chain & Logistics; Big Data,Customer Relationship Management; Data Warehouse; Human Resources; Digital Marketing; Inventory Management; Consumer & Marketing Analytics; Legal Tech; Knowledge Management; Payment Systems; Risk Management,https://www.copyleft.sg,
ARCTAN ANALYTICS PTE. LTD.,2016,1 - 10,Pre-seed,AI; IoT; Data Analysis; Big Data,Video Processing,https://happymeter.ai,
AUGMENTEED PTE. LTD.,2019,1 - 10,Seed,Aerospace; Enterprise Solutions; Manufacturing & Engineering; AR/VR,AR/VR; standard operating procedures; SOP; MRO; Manufacturing; aerospace,https://www.augmenteed.tech/,
HAND PLUS ROBOTICS PTE. LTD.,2018,1 - 10,Pre-seed,Precision Engineering; Supply Chain & Logistics; Manufacturing & Engineering; Robotics,Roboti; AI; logistics; Manufacturing; Piece Picking; Healthcare,https://www.handplusrobotics.com/,
ENVERSE PTE. LTD.,2019,1 - 10,Pre-seed,AI; Cleantech; Manufacturing & Engineering; IoT; Big Data,Green Building Technology; Renewable Energy; Energy Storage; internet of things,http://www.enverselab.com,
PINC INTERACTIVE PTE. LTD.,2018,11 - 50,Seed,AI; Enterprise Solutions; Infocomm Tech; SaaS; Big Data,Social Media; SaaS; Big Data; Consumer & Marketing Analytics; Payment Systems; Digital Marketing; Social Networking; Web Development,https://www.pinc360.com,
UMMALINE PTE. LTD.,2019,,Pre-seed,,,,
"SAVE A CRUST PTE LTD, trading as CRUST GROUP",2019,1 - 10,Pre-seed,Food Science and Technology; Agritech; Food & Beverage; Food Manufacturing & Processing,"Smart & Sustainable Packaging; Food Packaging; Alternative Protein; Circular Economy, Minimising Food Wastage",https://www.crust-group.com/,
EVOLVE INNOVATIVE SOLUTIONS PTE. LTD.,2018,11 - 50,Pre-seed,Gaming; AI; E-Commerce; IoT; AR/VR,AR/VR,http://www.evolvear.io,
Hatch,2019,11 - 50,Pre-seed,Media; Education,Human Resources; Learning Platform,https://www.hatch.sg,
ARLOID AUTOMATION PTE. LTD.,2017,1 - 10,Seed,AI; Real Estate; Urban Solutions; IoT; SaaS,Facilities Management; IoT; AI; Smart City; Urban Solutions; energy saving; Energy optimisation; hvac; Seed; fundraising,https://arloid.com,
NOZOMI ONE PTE. LTD.,2019,1 - 10,Pre-seed,Infotech; Fintech; Enterprise Solutions; Data Analysis; Big Data,SaaS; Application Development,https://nozomi.app,
PLANNER BEE PTE. LTD.,2020,,Pre-seed,,,https://www.plannerbee.co/,
INSTITUTIONAL LENDING EXCHANGE PTE. LTD.,2019,,Pre-seed,,,https://ilex.sg/,
Navisteps,2019,1 - 10,Pre-seed,AI; Fintech; Enterprise Solutions; SaaS; Data Analysis,Enterprise; b2b; SaaS,https://www.navisteps.com,
OTUA AUTO PTE. LTD.,2019,11 - 50,Pre-seed,Transport; E-Commerce,Digital Marketing,https://www.otua.sg/,
GREENHOUSE HOLDINGS PTE. LTD.,2017,11 - 50,Pre-series A,E-Commerce; Real Estate; Enterprise Solutions; Others,Legal Tech; Customer Relationship Management; E-Commerce,https://greenhouse.co/,
INTECH APAC PTE. LTD.,2018,,Pre-seed,,,http://www.intechww.com/,
SVBOOK PTE. LTD.,2018,1 - 10,Pre-seed,Education; AI; Infocomm Tech; Data Analysis; Big Data,E-Learning; E-Books; Learning Platform,http://www.svbook.com,
LYMOUS PTE. LTD.,2018,1 - 10,Pre-seed,Transport; Infotech; Travel & Hospitality; Enterprise Solutions,Ride Sharing; Application Development,https://lymous.com,
HALOV SINGAPORE PRIVATE LIMITED,2019,,Pre-seed,,,http://www.halov-sg.com,
GREEN TERP TECHNOLOGIES PTE. LTD.,2020,1 - 10,Pre-seed,AI; Events; SaaS; Cloud; Big Data,MICE; Multi-language Conferencing; Remote Simultaneous Interpreting; Natural Language Processing; Virtual Meetings; AI-Augmented Human Interpreter,https://www.gtmeeting.com,
PLANCKERA PTE. LTD.,2020,1 - 10,Pre-seed,Education; Infocomm Tech; Cloud,E-Learning; Learning & Development; Cloud,https://www.planckera.com,
SKAINOM PTE. LTD.,2017,,Pre-seed,Biotech; AI,,http://www.skainom.net/,based on internet checks
XYPHER PTE. LTD.,2018,,Pre-seed,AI; Enterprise Solutions; Blockchain; Data Analysis,,,no webpage found
HEPMIL MEDIA GROUP PTE. LTD.,2016,51 - 100,Seed,Adtech; Media; Events; Entertainment,,http://hepmil.com/,
XYLONIX PTE. LTD.,2016,,Pre-seed,Biotech,,https://xylonix.io/,based on internet checks
CELLIGENICS PTE. LTD.,2016,,Pre-seed,Biotech,,https://www.celligenics.com/,based on internet checks
SINOPSEE THERAPEUTICS PTE. LTD.,2017,,Pre-seed,Biotech,,http://www.sinopsee-therapeutics.com,
IOTA MEDTECH PTE. LTD.,2017,,Pre-seed,Medtech; AI; Healthcare,,,
1ST MEDTECH PTE. LTD.,2016,,Pre-seed,Medtech,,,
PORTCAST PTE. LTD.,2017,,Pre-seed,Maritime; AI; Supply Chain & Logistics,,https://portcast.io,
FINKYCK PTE. LTD.,2016,,Pre-seed,Fintech; Blockchain,,https://kyck.sg/,based on internet checks
CULUM CAPITAL PTE. LTD.,2016,,Pre-seed,Fintech; Supply Chain & Logistics,,https://culumcapital.com/,based on internet checks
BINANCE ASIA SERVICES PTE. LTD.,2018,,Pre-seed,Fintech; Blockchain,,,
PLMP FINTECH PTE. LTD.,2017,,Pre-seed,Fintech; Blockchain,,,
L'TRIA PRIVATE LIMITED,2017,,Pre-seed,Infocomm Tech,,https://www.tribebenefits.com/,based on internet checks
ABAKUS (ASIA PACIFIC) PTE. LTD.,2016,,Pre-seed,AI; Fintech; Big Data,,,no webpage found
STORIFY PTE. LTD.,2020,1 - 10,Seed,Adtech; Media; AI; Infocomm Tech; Big Data,Social Media; Digital Marketing; Consumer & Marketing Analytics,https://hello.storify.me,
BOUNTIE HOLDINGS PTE. LTD.,2019,1 - 10,Pre-series A,Media; Gaming; Events; E-Commerce; Entertainment,e-sports; Gaming; Tournaments; Payment Gateway; Coupon Affiliate; Advertising; Marketing,https://bountie.io,
SMARTER HEALTH PTE. LTD.,2016,,Pre-seed,Healthcare Services; Healthcare,,https://www.smarterhealth.sg,
MOTIVARE PTE. LTD.,2017,,Pre-seed,Enterprise Solutions,,https://motivare.com.sg/,based on internet checks
POLYGO WASTE MANAGEMENT PTE. LTD.,2019,1 - 10,Pre-seed,Urban Solutions; Cleantech,Recycling; Water Treatment; Waste Technology; Waste Management,http://www.polygo.sg,
AWINNING PTE. LTD.,2020,1 - 10,Pre-seed,Biotech; Complementary Health Products; E-Commerce; Healthcare; Lifestyle,Traditional Medicine; Health Supplements; Bioinformatics,http://www.awinning.com.sg,
SIMTRUM PTE. LTD.,2019,1 - 10,Pre-seed,Precision Engineering; Infotech; E-Commerce; SaaS; Cloud,SaaS; Optics & Photonics; E-Commerce; Cloud; Supply Chain; Modules & Components,http://www.simtrum.com,
ATLANTIS FINANCIAL TECHNOLOGIES PTE. LTD.,2020,,Pre-seed,,,http://www.atlantistech.co,
KELVIN WAVE (PTE. LTD.),2017,1 - 10,Pre-seed,Maritime; Marine & Offshore; Manufacturing & Engineering; Robotics,rescue boat; Planning & Design; lifeboat; high speed boat; Additive Manufacturing; boat building,https://www.kelvin-wave.com.sg/,
IDEA PRO PTE. LTD.,2020,1 - 10,Pre-seed,Infotech; Infocomm Tech; Hardware,Systems Development; Application Development; Web Development,https://www.ideapro.sg,
BUDDINGS PRIVATE LIMITED,2020,,Pre-seed,,,https://www.linkedin.com/in/marianne-chin/,
Indo4ward,2020,1 - 10,Pre-seed,Infotech; Retail; E-Commerce; Supply Chain & Logistics,Indonesia; E-Commerce; singapore; Forwarding; Indo4ward; Shipping ; shopping; Malaysia; Australia,https://www.indo4ward.com,
POLYMERIZE PTE. LTD.,2020,1 - 10,Pre-seed,Medtech; Semiconductor; AI; Manufacturing & Engineering; SaaS,Materials & Processes; Plastic ; Material informatics; formulation development; Polymers; research and development,https://polymerize.io/,
GROBRIX PTE. LTD.,2020,1 - 10,Seed,Agritech,"urban farming, indoor farming",https://www.grobrix.com,
FINEMA COMPANY PTE. LTD.,2020,51 - 100,Pre-series A,AI; E-Commerce; Fintech; Enterprise Solutions; SaaS,Blockchain; digital identity; Digital signatures; Cyber Security; IAM; Digital Signature; IDProofing ; AUTHENTICATION; DecentralizedIdentity; IDAffirmation,https://finema.co/,
BLUEFIRE AI HOLDINGS PTE. LTD.,2019,11 - 50,Pre-seed,AI; Fintech; SaaS,Risk Management; Trading; Investing,http://www.bluefireai.com,
HYPOTENUSE TECHNOLOGIES PTE. LTD.,2020,11 - 50,Seed,AI; E-Commerce; Enterprise Solutions; Infocomm Tech; SaaS,AI; machine learning; Digital Marketing; E-Commerce; copywriting; Artificial intelligence; SaaS; Retail; content marketing; Consumer & Marketing Analytics,http://hypotenuse.ai/,
NEXTKIDNEY SG PTE. LTD. ,2018,,Pre-seed,,,http://www.dialyss.com,
ROCKET CAPITAL INVESTMENT PTE. LTD.,2019,1 - 10,Seed,AI; Fintech; Others; Blockchain; Big Data,"blockchain, artificialintelligence, hedgefund; Trading; Cryptocurrency; Investing",https://yiedl.ai/,
HEALIUM DIGITAL HEALTHCARE PTE. LTD.,2019,,Pre-seed,,,https://www.healium.ai,based on internet checks
HICURA MEDICAL PTE. LTD.,2019,,Pre-seed,,,https://www.hicuramedical.com/,
KENT RIDGE HEALTHCARE SINGAPORE PRIVATE LIMITED,2017,101 - 200,Series A,Digital Health; Healthcare Services; IoT; Big Data,Digitised Health Systems; Mobile Health; Health Analytics,https://www.kentridgehealth.com/,
REEFIC PTE. LTD.,2016,1 - 10,Pre-seed,Adtech; AI; Enterprise Solutions; Data Analysis,Customer Relationship Management; Data Warehouse; Knowledge Management,https://guppy.redharestudios.sg,
DEAFTAWK PTE. LTD.,2019,11 - 50,Seed,Education; AI; Enterprise Solutions,Communication Systems; inclusion; Health; Education; deaf; bridgethegap,https://www.deaftawk.com,
RIVERR PTE. LTD.,2020,1 - 10,Pre-seed,AI; Maritime; Digital Health; Marine & Offshore; Blockchain,Digitised Health Systems; certificates ; Training; digital wallet ,https://riverr.ai/,
SHOWSUITE (SG) PTE. LTD.,2017,11 - 50,Pre-seed,Infotech; Real Estate; Enterprise Solutions; SaaS; Data Analysis,Smart Contracts; Inventory Management; Customer Relationship Management; SaaS,https://showsuite.com/,
OOBLECK PRIVATE LIMITED,2019,1 - 10,Pre-seed,AI; E-Commerce; Enterprise Solutions; Supply Chain & Logistics,Inventory Management,https://www.tshirtkaki.com.sg,
GetSpaces,2020,1 - 10,Pre-seed,E-Commerce; Real Estate,proptech; marketplace; property; ecommerce; Services,https://getspaces.com,
VESTR PTE. LTD.,2021,11 - 50,Series A,Fintech; Cloud,Asset Management; Portfolio Management; Capital Markets; digitalisation; Technology Provider; Actively Managed Investment Products; Portfolio Rebalancing; Investment Management,https://www.vestr.com/,
ACCUPREDICT SERVICES PTE. LTD.,2021,11 - 50,Pre-seed,IoT,"#Predictive Maintenance, #Predictive Analytics, #Smart Manufacturing, #Industry 4.0",https://accupredict.io/,
BUMPP PTE. LTD.,2020,1 - 10,Pre-seed,Enterprise Solutions; SaaS,SaaS; Social Networking,https://www.bumpp.io,
Data Recovery Singapore,2017,1 - 10,Pre-seed,Media; Infotech; Enterprise Solutions; Data Analysis,Big Data; Data Analysis,https://www.datarecoverysingapore.org,
FOLLOWTRADE PTE. LTD.,2021,1 - 10,Pre-seed,Education; Fintech,Learning Platform; Gamification; Social Trading,https://www.follow-trade.com,
NUSOIL PTE. LTD.,2019,1 - 10,Pre-seed,Food Science and Technology; Agritech; Urban Solutions,Smart Farming; Soil Technology; Fertilisers; Seed; Controlled Environment Agriculture; Precision Agriculture,https://nusoil.com.sg/,
JUN AND JUNG PTE. LTD.,2020,1 - 10,Pre-seed,AI; IoT; Big Data,Data Analysis; Big Data; Digitised Health Systems; Data Warehouse,http://www.startupsg.gov.sg/profiles/27628,
SCENT JOURNER PTE. LTD.,2021,1 - 10,Pre-seed,Retail; E-Commerce; Lifestyle; Others; Hardware,E-Commerce; Perfume; Cosmetic; Mental Wellness; Home & Living,https://www.scentjourner.com,
DIVE AR PTE. LTD.,2021,1 - 10,Pre-seed,Media; Retail; Food & Beverage; Entertainment,Digital Marketing; marketplace; Media; O2O; O2O2O; Retail,https://divedeals.sg,
STEMLY,2020,11 - 50,Seed,Fintech; Enterprise Solutions; Supply Chain & Logistics; SaaS; Big Data,Data Analysis; Big Data; Forecasting; Artificial intelligence; SaaS; Demand Planning; Enterprise Solution; FinTech; Supply Chain; Technology,https://www.stemly.ai/,
MICELAH PTE. LTD.,2021,1 - 10,Seed,Transport; Events; Food & Beverage; Travel & Hospitality; Lifestyle,MICE,https://www.micelah.com,
GENERAL SYSTEMS SG PTE. LTD.,2021,1 - 10,Pre-seed,AI; Real Estate; IoT; Hardware; Robotics,Robotics; construction tech; Automation; sustainable buildings; precision construction; workforce productivity; building masonry,https://www.generalsystems.tech/,
FLOATINGON PTE. LTD.,2021,1 - 10,Pre-seed,Travel & Hospitality; Real Estate; Urban Solutions,Planning & Design; Facilities Management; Renewable Energy,http://www.floatingon.com.sg,
URBAN ORIGINS PTE. LTD.,2021,1 - 10,Pre-seed,Retail; E-Commerce; Food & Beverage; Supply Chain & Logistics; Urban Solutions,food security; food sustainability; food tech; E-Commerce; urban food; future foods; plant-based food; meat alternatives; alternative proteins; insect proteins,https://www.urbanorigins.sg/,
CTRL ALT DEL PTE. LTD.,2018,,Pre-seed,,,https://cad.sg,
KEMANG INTERNET PTE. LTD.,2020,1 - 10,Pre-seed,Adtech; Media; Others; Big Data,Digital Marketing; Social Media,https://www.kemang.sg,
PAWS AND PLAY SG PTE. LTD.,2021,1 - 10,Pre-seed,Media; Education; E-Commerce; Lifestyle,Social Media; E-Commerce; Learning Platform,https://pawsandplay.sg/,
CURIUM PTE. LTD.,2020,1 - 10,Pre-series A,Transport; Supply Chain & Logistics; Urban Solutions,"Software-defined Sensing, Automotive, Smart Cities",https://curium.sg/,
SNATCHJOBS SINGAPORE PTE. LTD.,2020,1 - 10,Pre-seed,Infotech; AI; Others,hr,https://www.snatchjobs.sg,
MAIDEN ASIA PTE. LTD.,2020,1 - 10,Pre-seed,Enterprise Solutions; SaaS,SaaS Enterprise Platform Builder for Niche Industries,https://www.maiden.asia,
Defog.ai,2021,1 - 10,Seed,AI; Data Analysis; Big Data,ai generated content; data research; Data Analysis,https://datanarratives.com,
Socium Consultancy Pte Ltd,2020,1 - 10,Pre-seed,Adtech; Media; AI; Infocomm Tech,Social Networking; Digital Marketing; Social Media; Consumer & Marketing Analytics; E-Commerce; Web Development,https://socium.sg,
METACOSMOS PTE. LTD.,2021,,Pre-seed,,,https://metacosm.ooo,
EZSY PTE. LTD.,2018,11 - 50,Pre-seed,E-Commerce; Fintech; Urban Solutions; Blockchain,Trading; Payment Systems; Investing; Personal Finance; Cryptocurrency; Anti-Money Laundering; Crowdfunding,https://ezsy.com/,
PARATLAS PRIVATE LIMITED,2021,1 - 10,Pre-seed,Education; AI; Infocomm Tech,Training; Virtualisation; Education; AI,https://www.unravelx.app,
AQUIP.IO PTE. LTD,2019,1 - 10,Pre-seed,Infotech; AI; Fintech; Data Analysis; Cloud,Systems Development; SaaS; Web Development; Application Development,https://aquip.io/,
EQUINET ACADEMY PRIVATE LIMITED,2017,1 - 10,Pre-seed,Media; Education,Digital Marketing; Social Media; Consumer & Marketing Analytics; Web Development,https://www.equinetacademy.com/,
YODOGGO PTE. LTD.,2021,1 - 10,Pre-seed,Food Science and Technology; Agritech; E-Commerce; Food Manufacturing & Processing; Others,"Pet Food; Direct to Consumer; Freeze drying, eCommerce, Food manufacturing; Pet care; pet services",https://yodoggo.com/,
UMAMI BIOWORKS PTE. LTD.,2020,11 - 50,Seed,Food Science and Technology; Biotech; Food & Beverage,Alternative Protein,https://www.umamibioworks.com,
SCRATCHBAC,2021,1 - 10,Pre-seed,Media; E-Commerce; Infocomm Tech; Lifestyle,Social Networking; Social Media; Geosocial Media; Hyperlocal; Community,https://www.scratchbac.com,
CONNECTINGDNA GLOBAL PTE. LTD.,2021,1 - 10,Pre-seed,Education; AI; Digital Health; E-Commerce; Big Data,DNA; Telemedicine; alternative health; digitization; personalized solutions,https://connectingdna.com/,
CAPITALTECH PTE. LTD.,2021,1 - 10,Pre-seed,Blockchain,Digital Marketing; Blockchain,https://www.capitaltech.dev/,
BLOCK AERO TECHNOLOGIES ASIA PTE. LTD.,2020,1 - 10,Seed,Aerospace; Enterprise Solutions; Manufacturing & Engineering; Blockchain; Cloud,Aviation; SaaS; Inventory Management,https://block.aero/,
MinterestPay,2020,11 - 50,Pre-seed,Retail; E-Commerce; Fintech; Lifestyle,Payment Systems; Personal Finance,https://minterestpay.com/,
BLUENTE PTE. LTD.,2021,11 - 50,Pre-seed,Education,Education; Natural Language Processing; Learning Platform,https://www.bluente.com,
AURORAFOOD PTE. LTD.,2020,1 - 10,Seed,Food Science and Technology; Food & Beverage; Food Manufacturing & Processing,food science; blood sugar management; functional food; food innovations,https://aurorafoodsg.com/,
ERLEADX PTE. LTD.,2021,,Pre-seed,,,http://erleadx.com,
ENTO INDUSTRIES PTE. LTD.,2020,1 - 10,Pre-seed,Agritech; Cleantech; Manufacturing & Engineering,Waste Management; Insect Farming; Renewable Energy; Controlled Environment Agriculture; Recycling; Fertilisers; Livestock; Precision Agriculture; Waste Technology; Smart Farming,https://www.entoindustries.com,
NEIGHBOURHOOD PTE. LTD.,2021,1 - 10,Pre-seed,Adtech; Infotech; Infocomm Tech; Lifestyle; Cloud,Web Development; Home & Living; Systems Development; Communication Systems; Application Development; Content Hosting,http://www.nextblock.sg,
COOLESTDC PTE. LTD.,2020,,Pre-seed,,,https://www.coolestdc.com/,
IPPLUS TECHNOLOGY PTE. LTD.,2019,1 - 10,Pre-seed,Infotech; AI; SaaS; Big Data,SaaS; Systems Development; Legal Tech; Big Data; E-Commerce,http://www.ipplus.io,
Upskillcycle,2021,1 - 10,Pre-seed,Education; AI; Infocomm Tech; SaaS,Learning Platform; SaaS; Edtech; Big Data; E-Learning; Application Development; Web Development; Human Resources; Data Analysis,https://upskillcycle.com/,
MEKA ROBOTICS PTE. LTD.,2021,1 - 10,Pre-seed,Consumer Electronics; AI; IoT; Hardware; Robotics,Consumer Electronics,https://perfect-narcissus-4d9.notion.site/Automatic-Garment-Steamer-41064d2fdfe04e0ba09de5c23439a683,
XEN TECHNOLOGIES PTE. LTD.,2018,,Pre-seed,Fintech,,,
CLASSDO PTE. LTD.,2017,11 - 50,Seed,Education; Enterprise Solutions; Data Analysis,Learning Platform; E-Learning; Education; Video conference,https://ClassDo.com,
J RENTAL CENTRE PTE. LTD.,2016,,Pre-seed,Media; E-Commerce,,,
AIGO LIVE PTE. LTD.,2021,1 - 10,Pre-seed,Infotech; Retail; E-Commerce; Enterprise Solutions; IoT,E-Commerce; Systems Development; Retail; Inventory Management; IoT,https://aigolive.com/,
ISBC INNOVATIONS PTE. LTD.,2019,1 - 10,Pre-seed,Precision Engineering; Semiconductor; Infotech; Infocomm Tech; IoT,rfid; NFC; Semiconductor; IoT; mifare; ntag; ucode; Modules & Components; hang tags,https://isbc.sg,
DUMPSTERZ PTE LTD,2018,,Pre-seed,Others,,,
DECK TOYS PTE LTD,2017,,Pre-seed,Education,,,
